salary,gender,age,height,pts,ast,usg_p,foreign
70040,1,26,78,7.3,1.6,0.126,0
70040,1,26,68,5.4,3.0,0.15,0
70040,1,24,69,1.9,0.9,0.162,0
70040,1,25,72,9.5,1.8,0.187,1
70040,1,26,68,17.8,2.5,0.24,0
70040,1,26,66,5.8,3.0,0.166,0
70040,1,26,73,11.3,2.3,0.211,0
70040,1,22,77,3.4,0.2,0.132,0
70040,1,26,78,7.4,0.8,0.163,0
70040,1,20,76,2.4,0.6,0.18,1
70040,1,25,68,16.2,2.6,0.239,0
70040,1,23,66,6.3,2.0,0.196,0
70040,1,25,76,18.3,3.1,0.257,0
69360,1,23,76,11.9,2.8,0.229,0
69360,1,24,71,11.7,6.1,0.207,0
69360,1,23,69,14.2,3.3,0.256,0
67208,1,22,72,8.6,0.6,0.176,0
67208,1,24,75,0.0,1.0,0.146,0
67208,1,24,70,0.6,0.1,0.129,0
66555,1,23,70,4.4,2.7,0.153,0
66555,1,23,76,5.8,0.8,0.145,0
66555,1,23,74,0.0,0.0,0.0,0
66555,1,23,76,2.6,0.5,0.095,0
64375,1,23,70,1.1,0.6,0.129,0
63751,1,23,73,4.5,0.9,0.193,0
63751,1,25,72,5.9,1.1,0.207,0
62014,1,27,73,6.8,1.3,0.184,0
61543,1,24,72,2.8,0.5,0.204,0
61543,1,22,74,2.3,0.8,0.106,0
61543,1,24,67,1.0,0.6,0.102,0
61543,1,23,66,3.3,1.0,0.209,0
61543,1,24,71,3.2,0.6,0.184,0
60946,1,23,74,3.1,0.4,0.126,0
60946,1,23,76,5.7,1.4,0.148,0
60946,1,23,73,4.3,1.1,0.147,0
60946,1,23,65,7.7,2.8,0.2,0
60069,1,25,79,11.3,1.1,0.187,0
60069,1,24,75,7.0,1.7,0.154,0
60069,1,24,72,12.2,3.2,0.166,0
58710,1,24,68,9.1,1.4,0.233,0
58710,1,23,74,1.4,0.2,0.136,0
58710,1,25,73,5.6,1.1,0.137,0
58710,1,33,67,5.4,2.5,0.148,0
58710,1,24,68,7.6,1.9,0.169,0
58710,1,25,73,16.2,3.2,0.228,0
58710,1,25,71,13.3,2.9,0.259,0
58710,1,24,73,2.9,0.3,0.193,0
58710,1,23,77,2.0,0.8,0.154,1
58710,1,25,76,2.0,1.7,0.127,0
58710,1,22,76,6.7,0.8,0.192,1
58710,1,28,72,8.8,1.5,0.216,0
58710,1,24,73,4.8,1.5,0.122,1
58710,1,25,75,7.8,1.8,0.117,0
58710,1,27,82,4.9,0.3,0.172,1
58710,1,25,76,1.8,0.2,0.122,0
58710,1,24,68,18.7,3.3,0.274,0
58710,1,25,76,1.2,0.6,0.156,1
52042,1,28,70,5.0,1.6,0.196,0
47185,1,27,69,1.6,1.1,0.123,0
45000,1,28,75,1.5,0.8,0.044,0
35389,1,27,75,4.4,1.1,0.174,0
34651,1,28,74,5.9,0.3,0.198,0
34315,1,23,76,2.6,0.5,0.132,0
31095,1,22,68,0.4,0.2,0.116,0
30900,1,22,74,2.2,0.3,0.226,0
29664,1,23,70,2.0,0.3,0.19,0
29664,1,26,72,2.8,0.2,0.155,0
24330,1,26,69,6.9,0.9,0.144,0
24330,1,28,74,0.9,0.4,0.105,0
20609,1,28,70,2.3,1.2,0.103,0
20394,1,23,75,2.6,0.6,0.164,0
17304,1,26,72,3.6,0.8,0.123,0
16068,1,25,75,4.0,0.0,0.177,0
15564,1,20,66,2.0,0.8,0.269,1
14908,1,24,71,2.5,0.5,0.146,0
13596,1,24,76,3.4,0.5,0.167,0
12978,1,25,72,0.0,0.0,0.133,0
12978,1,32,74,5.5,0.9,0.203,0
9270,1,24,79,2.0,0.0,0.273,0
6798,1,27,74,0.0,0.0,0.105,0
5099,1,24,75,1.5,0.0,0.111,0
3318,1,28,69,2.0,2.0,0.164,0
3245,1,27,67,0.0,0.0,0.0,0
1391,1,23,69,0.0,1.0,0.0,0
